, 0, 0.15708, 0.314159, 0.471239, 0.628318, 0.785398, 0.942478, 1.09956, 1.25664, 1.41372, 1.5708, 1.72788, 1.88496, 2.04203, 2.19911, 2.35619, 2.51327, 2.67035, 2.82743, 2.98451
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.15708, 0, 0.0244717, 0.0483409, 0.0710197, 0.0919498, 0.110616, 0.126558, 0.139384, 0.148778, 0.154508, 0.156434, 0.154508, 0.148778, 0.139384, 0.126558, 0.110616, 0.0919499, 0.0710198, 0.048341, 0.0244718
0.314159, 0, 0.0483409, 0.0954915, 0.140291, 0.181636, 0.218508, 0.25, 0.275336, 0.293893, 0.305212, 0.309017, 0.305212, 0.293893, 0.275336, 0.25, 0.218508, 0.181636, 0.140291, 0.0954917, 0.0483411
0.471239, 0, 0.0710197, 0.140291, 0.206107, 0.266849, 0.32102, 0.367286, 0.404508, 0.431771, 0.448401, 0.45399, 0.448401, 0.431771, 0.404509, 0.367286, 0.32102, 0.266849, 0.206108, 0.140291, 0.07102
0.628318, 0, 0.0919498, 0.181636, 0.266849, 0.345491, 0.415627, 0.475528, 0.52372, 0.559017, 0.580549, 0.587785, 0.580549, 0.559017, 0.523721, 0.475528, 0.415627, 0.345492, 0.266849, 0.181636, 0.0919502
0.785398, 0, 0.110616, 0.218508, 0.32102, 0.415627, 0.5, 0.572061, 0.630037, 0.672498, 0.698401, 0.707107, 0.698401, 0.672498, 0.630037, 0.572061, 0.5, 0.415627, 0.32102, 0.218508, 0.110616
0.942478, 0, 0.126558, 0.25, 0.367286, 0.475528, 0.572061, 0.654508, 0.720839, 0.769421, 0.799057, 0.809017, 0.799057, 0.769421, 0.720839, 0.654509, 0.572062, 0.475529, 0.367286, 0.25, 0.126559
1.09956, 0, 0.139384, 0.275336, 0.404508, 0.52372, 0.630037, 0.720839, 0.793892, 0.847397, 0.880037, 0.891006, 0.880037, 0.847398, 0.793893, 0.72084, 0.630037, 0.523721, 0.404509, 0.275337, 0.139385
1.25664, 0, 0.148778, 0.293893, 0.431771, 0.559017, 0.672498, 0.769421, 0.847397, 0.904508, 0.939347, 0.951056, 0.939347, 0.904509, 0.847398, 0.769421, 0.672499, 0.559017, 0.431771, 0.293893, 0.148779
1.41372, 0, 0.154508, 0.305212, 0.448401, 0.580549, 0.698401, 0.799057, 0.880037, 0.939347, 0.975528, 0.987688, 0.975528, 0.939348, 0.880037, 0.799057, 0.698401, 0.580549, 0.448402, 0.305213, 0.154509
1.5708, 0, 0.156434, 0.309017, 0.45399, 0.587785, 0.707107, 0.809017, 0.891006, 0.951056, 0.987688, 1, 0.987688, 0.951057, 0.891007, 0.809017, 0.707107, 0.587786, 0.453991, 0.309018, 0.156435
1.72788, 0, 0.154508, 0.305212, 0.448401, 0.580549, 0.698401, 0.799057, 0.880037, 0.939347, 0.975528, 0.987688, 0.975528, 0.939348, 0.880037, 0.799057, 0.698402, 0.580549, 0.448402, 0.305213, 0.154509
1.88496, 0, 0.148778, 0.293893, 0.431771, 0.559017, 0.672498, 0.769421, 0.847398, 0.904509, 0.939348, 0.951057, 0.939348, 0.904509, 0.847398, 0.769421, 0.672499, 0.559017, 0.431771, 0.293893, 0.148779
2.04203, 0, 0.139384, 0.275336, 0.404509, 0.523721, 0.630037, 0.720839, 0.793893, 0.847398, 0.880037, 0.891007, 0.880037, 0.847398, 0.793893, 0.72084, 0.630037, 0.523721, 0.404509, 0.275337, 0.139385
2.19911, 0, 0.126558, 0.25, 0.367286, 0.475528, 0.572061, 0.654509, 0.72084, 0.769421, 0.799057, 0.809017, 0.799057, 0.769421, 0.72084, 0.654509, 0.572062, 0.475529, 0.367287, 0.250001, 0.126559
2.35619, 0, 0.110616, 0.218508, 0.32102, 0.415627, 0.5, 0.572062, 0.630037, 0.672499, 0.698401, 0.707107, 0.698402, 0.672499, 0.630037, 0.572062, 0.5, 0.415627, 0.32102, 0.218509, 0.110616
2.51327, 0, 0.0919499, 0.181636, 0.266849, 0.345492, 0.415627, 0.475529, 0.523721, 0.559017, 0.580549, 0.587786, 0.580549, 0.559017, 0.523721, 0.475529, 0.415627, 0.345492, 0.266849, 0.181636, 0.0919503
2.67035, 0, 0.0710198, 0.140291, 0.206108, 0.266849, 0.32102, 0.367286, 0.404509, 0.431771, 0.448402, 0.453991, 0.448402, 0.431771, 0.404509, 0.367287, 0.32102, 0.266849, 0.206108, 0.140291, 0.0710201
2.82743, 0, 0.048341, 0.0954917, 0.140291, 0.181636, 0.218508, 0.25, 0.275337, 0.293893, 0.305213, 0.309018, 0.305213, 0.293893, 0.275337, 0.250001, 0.218509, 0.181636, 0.140291, 0.0954918, 0.0483412
2.98451, 0, 0.0244718, 0.0483411, 0.07102, 0.0919502, 0.110616, 0.126559, 0.139385, 0.148779, 0.154509, 0.156435, 0.154509, 0.148779, 0.139385, 0.126559, 0.110616, 0.0919503, 0.0710201, 0.0483412, 0.0244719
